cell_id,cycle,capacity_ah,capacity_pct,temperature_c,charge_rate_c,discharge_rate_c
cell_001,1,1.9683,98.36,23.6,1.5,2.0
cell_001,2,2.0292,101.4,23.6,1.5,2.0
cell_001,3,1.9862,99.26,23.6,1.5,2.0
cell_001,4,1.9929,99.59,23.6,1.5,2.0
cell_001,5,1.9855,99.22,23.6,1.5,2.0
cell_001,6,2.0369,101.79,23.6,1.5,2.0
cell_001,7,2.0337,101.63,23.6,1.5,2.0
cell_001,8,2.0311,101.5,23.6,1.5,2.0
cell_001,9,1.9651,98.2,23.6,1.5,2.0
cell_001,10,2.0179,100.84,23.6,1.5,2.0
cell_001,11,1.9837,99.13,23.6,1.5,2.0
cell_001,12,1.9744,98.67,23.6,1.5,2.0
cell_001,13,1.9892,99.4,23.6,1.5,2.0
cell_001,14,1.9657,98.23,23.6,1.5,2.0
cell_001,15,2.0148,100.69,23.6,1.5,2.0
cell_001,16,1.9865,99.27,23.6,1.5,2.0
cell_001,17,1.9646,98.17,23.6,1.5,2.0
cell_001,18,1.9923,99.56,23.6,1.5,2.0
cell_001,19,1.9739,98.64,23.6,1.5,2.0
cell_001,20,1.9867,99.28,23.6,1.5,2.0
cell_001,21,2.0258,101.24,23.6,1.5,2.0
cell_001,22,1.9812,99.0,23.6,1.5,2.0
cell_001,23,1.997,99.79,23.6,1.5,2.0
cell_001,24,1.9577,97.83,23.6,1.5,2.0
cell_001,25,1.9582,97.85,23.6,1.5,2.0
cell_001,26,1.9978,99.84,23.6,1.5,2.0
cell_001,27,2.0027,100.08,23.6,1.5,2.0
cell_001,28,1.9907,99.48,23.6,1.5,2.0
cell_001,29,2.0075,100.32,23.6,1.5,2.0
cell_001,30,2.0023,100.06,23.6,1.5,2.0
cell_001,31,2.0241,101.15,23.6,1.5,2.0
cell_001,32,2.0002,99.96,23.6,1.5,2.0
cell_001,33,2.0192,100.9,23.6,1.5,2.0
cell_001,34,1.9817,99.03,23.6,1.5,2.0
cell_001,35,2.0224,101.06,23.6,1.5,2.0
cell_001,36,1.9606,97.97,23.6,1.5,2.0
cell_001,37,2.0041,100.15,23.6,1.5,2.0
cell_001,38,1.9685,98.37,23.6,1.5,2.0
cell_001,39,2.0,99.95,23.6,1.5,2.0
cell_001,40,1.9743,98.66,23.6,1.5,2.0
