cell_id,cycle,impedance_ohm,impedance_growth_pct
cell_001,1,0.04893,0.37
cell_001,2,0.04852,-0.46
cell_001,3,0.04918,0.88
cell_001,4,0.0489,0.31
cell_001,5,0.04879,0.08
cell_001,6,0.0491,0.73
cell_001,7,0.04907,0.66
cell_001,8,0.04912,0.75
cell_001,9,0.0484,-0.71
cell_001,10,0.0489,0.31
cell_001,11,0.04864,-0.23
cell_001,12,0.04895,0.41
cell_001,13,0.04851,-0.5
cell_001,14,0.04884,0.18
cell_001,15,0.04908,0.68
cell_001,16,0.04918,0.89
cell_001,17,0.0488,0.1
cell_001,18,0.04903,0.58
cell_001,19,0.04916,0.85
cell_001,20,0.04881,0.13
cell_001,21,0.04851,-0.5
cell_001,22,0.04899,0.49
cell_001,23,0.04924,1.01
cell_001,24,0.04922,0.97
cell_001,25,0.04851,-0.5
cell_001,26,0.04869,-0.12
cell_001,27,0.04868,-0.14
cell_001,28,0.04852,-0.48
cell_001,29,0.04908,0.68
cell_001,30,0.04917,0.87
cell_001,31,0.04882,0.15
cell_001,32,0.04877,0.05
cell_001,33,0.04864,-0.23
cell_001,34,0.04904,0.59
cell_001,35,0.04907,0.65
cell_001,36,0.04923,0.97
cell_001,37,0.04885,0.2
cell_001,38,0.04895,0.41
cell_001,39,0.04873,-0.03
cell_001,40,0.0489,0.32
cell_001,41,0.049,0.51
cell_001,42,0.04889,0.28
cell_001,43,0.04895,0.41
cell_001,44,0.04957,1.69
cell_001,45,0.04921,0.93
cell_001,46,0.04957,1.67
cell_001,47,0.04961,1.76
cell_001,48,0.04872,-0.06
cell_001,49,0.04952,1.58
cell_001,50,0.04893,0.37
cell_001,51,0.0494,1.32
cell_001,52,0.04929,1.1
cell_001,53,0.04915,0.82
cell_001,54,0.04907,0.66
cell_001,55,0.04889,0.29
cell_001,56,0.04968,1.91
cell_001,57,0.04953,1.61
cell_001,58,0.04907,0.66
cell_001,59,0.04887,0.25
cell_001,60,0.0497,1.95
cell_001,61,0.04918,0.87
cell_001,62,0.04885,0.2
cell_001,63,0.04932,1.16
cell_001,64,0.04895,0.41
cell_001,65,0.049,0.52
cell_001,66,0.04979,2.14
cell_001,67,0.04901,0.54
cell_001,68,0.04903,0.57
cell_001,69,0.04954,1.62
cell_001,70,0.04923,0.99
cell_001,71,0.04929,1.11
cell_001,72,0.04953,1.59
cell_001,73,0.0493,1.13
cell_001,74,0.04908,0.67
cell_001,75,0.04923,0.97
cell_001,76,0.04902,0.54
cell_001,77,0.04962,1.79
cell_001,78,0.0498,2.15
cell_001,79,0.04922,0.97
cell_001,80,0.04914,0.8
cell_001,81,0.04948,1.49
cell_001,82,0.04906,0.63
cell_001,83,0.04905,0.61
cell_001,84,0.04919,0.91
cell_001,85,0.05,2.57
cell_001,86,0.04951,1.56
cell_001,87,0.04945,1.44
cell_001,88,0.0494,1.33
cell_001,89,0.04927,1.06
cell_001,90,0.04925,1.02
cell_001,91,0.04967,1.89
cell_001,92,0.04981,2.17
cell_001,93,0.04922,0.96
cell_001,94,0.04947,1.48
cell_001,95,0.0498,2.16
cell_001,96,0.04993,2.42
cell_001,97,0.04916,0.84
cell_001,98,0.05002,2.61
cell_001,99,0.04924,1.01
cell_001,100,0.05003,2.64
cell_001,101,0.05004,2.65
cell_001,102,0.04957,1.67
cell_001,103,0.04973,2.02
cell_001,104,0.04966,1.86
cell_001,105,0.04995,2.46
cell_001,106,0.04934,1.21
cell_001,107,0.05001,2.59
cell_001,108,0.04934,1.22
cell_001,109,0.05009,2.74
cell_001,110,0.04949,1.52
cell_001,111,0.05014,2.85
cell_001,112,0.04967,1.89
cell_001,113,0.04967,1.88
cell_001,114,0.04981,2.16
cell_001,115,0.04984,2.23
cell_001,116,0.04993,2.42
cell_001,117,0.05032,3.22
cell_001,118,0.0497,1.94
cell_001,119,0.05007,2.72
cell_001,120,0.04967,1.89
cell_001,121,0.05023,3.03
cell_001,122,0.0495,1.54
cell_001,123,0.05001,2.58
cell_001,124,0.04993,2.42
cell_001,125,0.05007,2.7
cell_001,126,0.04991,2.37
cell_001,127,0.04968,1.91
cell_001,128,0.04977,2.1
cell_001,129,0.0502,2.97
cell_001,130,0.04993,2.42
cell_001,131,0.04999,2.54
cell_001,132,0.04971,1.97
cell_001,133,0.04971,1.98
cell_001,134,0.04983,2.21
cell_001,135,0.05014,2.86
cell_001,136,0.0499,2.37
cell_001,137,0.04956,1.66
cell_001,138,0.04979,2.13
cell_001,139,0.05028,3.15
cell_001,140,0.0504,3.38
cell_001,141,0.04975,2.06
cell_001,142,0.05052,3.64
cell_001,143,0.04992,2.41
cell_001,144,0.04975,2.05
cell_001,145,0.04984,2.23
cell_001,146,0.05035,3.28
cell_001,147,0.05007,2.7
cell_001,148,0.05023,3.04
cell_001,149,0.05004,2.65
cell_001,150,0.05032,3.22
cell_001,151,0.04972,1.99
cell_001,152,0.05064,3.89
cell_001,153,0.04999,2.53
cell_001,154,0.0504,3.39
cell_001,155,0.0505,3.59
cell_001,156,0.05005,2.66
cell_001,157,0.05059,3.77
cell_001,158,0.04986,2.27
cell_001,159,0.05064,3.87
cell_001,160,0.05027,3.13
cell_001,161,0.05025,3.07
cell_001,162,0.05003,2.64
cell_001,163,0.04988,2.32
cell_001,164,0.05022,3.02
cell_001,165,0.05056,3.72
cell_001,166,0.05078,4.16
cell_001,167,0.05037,3.32
cell_001,168,0.04989,2.33
cell_001,169,0.04989,2.33
cell_001,170,0.05032,3.22
cell_001,171,0.05059,3.77
cell_001,172,0.05065,3.89
cell_001,173,0.0503,3.17
cell_001,174,0.0508,4.21
cell_001,175,0.05063,3.86
cell_001,176,0.05077,4.14
cell_001,177,0.0504,3.39
cell_001,178,0.0504,3.38
cell_001,179,0.05029,3.16
cell_001,180,0.05034,3.27
cell_001,181,0.05006,2.7
cell_001,182,0.05035,3.29
cell_001,183,0.05081,4.22
cell_001,184,0.05011,2.8
cell_001,185,0.05022,3.01
cell_001,186,0.0502,2.98
cell_001,187,0.05009,2.75
cell_001,188,0.05025,3.07
cell_001,189,0.05039,3.36
cell_001,190,0.05067,3.95
cell_001,191,0.05011,2.8
cell_001,192,0.05032,3.22
cell_001,193,0.05012,2.81
cell_001,194,0.05024,3.05
cell_001,195,0.05035,3.27
cell_001,196,0.05031,3.2
cell_001,197,0.05096,4.54
cell_001,198,0.05015,2.88
cell_001,199,0.05113,4.88
cell_001,200,0.05103,4.69
cell_001,201,0.05034,3.26
cell_001,202,0.05099,4.59
cell_001,203,0.0509,4.42
cell_001,204,0.05117,4.96
cell_001,205,0.05115,4.91
cell_001,206,0.05049,3.58
cell_001,207,0.05065,3.91
cell_001,208,0.05067,3.94
cell_001,209,0.05097,4.56
cell_001,210,0.05115,4.92
cell_001,211,0.05076,4.11
cell_001,212,0.0506,3.79
cell_001,213,0.05092,4.45
cell_001,214,0.0508,4.21
cell_001,215,0.05111,4.84
cell_001,216,0.05106,4.73
cell_001,217,0.05059,3.78
cell_001,218,0.05128,5.19
cell_001,219,0.05053,3.64
cell_001,220,0.05106,4.74
cell_001,221,0.05074,4.08
cell_001,222,0.05048,3.55
cell_001,223,0.05116,4.94
cell_001,224,0.05081,4.23
cell_001,225,0.05061,3.81
cell_001,226,0.05076,4.13
cell_001,227,0.05139,5.41
cell_001,228,0.05068,3.95
cell_001,229,0.05047,3.53
cell_001,230,0.05112,4.87
cell_001,231,0.05077,4.14
cell_001,232,0.05099,4.59
cell_001,233,0.05064,3.87
cell_001,234,0.05087,4.35
cell_001,235,0.05127,5.16
cell_001,236,0.05088,4.36
cell_001,237,0.05058,3.75
cell_001,238,0.05095,4.52
cell_001,239,0.05113,4.87
cell_001,240,0.05124,5.11
cell_001,241,0.05099,4.59
cell_001,242,0.05071,4.02
cell_001,243,0.05128,5.18
cell_001,244,0.05139,5.41
cell_001,245,0.05062,3.84
cell_001,246,0.051,4.61
cell_001,247,0.05149,5.63
cell_001,248,0.05088,4.36
cell_001,249,0.05146,5.56
cell_001,250,0.05117,4.97
cell_001,251,0.05156,5.76
cell_001,252,0.05157,5.78
cell_001,253,0.05148,5.59
cell_001,254,0.05083,4.27
cell_001,255,0.05159,5.83
cell_001,256,0.05083,4.26
cell_001,257,0.05083,4.27
cell_001,258,0.05078,4.16
cell_001,259,0.05172,6.08
cell_001,260,0.05078,4.16
cell_001,261,0.05153,5.7
cell_001,262,0.05082,4.24
cell_001,263,0.05112,4.86
cell_001,264,0.05147,5.59
cell_001,265,0.05141,5.45
cell_001,266,0.05128,5.19
cell_001,267,0.05159,5.83
cell_001,268,0.05097,4.55
cell_001,269,0.05161,5.87
cell_001,270,0.05175,6.16
cell_001,271,0.05094,4.5
cell_001,272,0.05124,5.11
cell_001,273,0.05174,6.14
cell_001,274,0.05122,5.08
cell_001,275,0.05118,4.99
cell_001,276,0.05163,5.92
cell_001,277,0.051,4.61
cell_001,278,0.05185,6.36
cell_001,279,0.05157,5.79
cell_001,280,0.05165,5.96
cell_001,281,0.05167,6.0
cell_001,282,0.05125,5.12
cell_001,283,0.05178,6.22
cell_001,284,0.05111,4.84
cell_001,285,0.05157,5.79
cell_001,286,0.05188,6.42
cell_001,287,0.05125,5.12
cell_001,288,0.05109,4.81
cell_001,289,0.05177,6.19
cell_001,290,0.05202,6.72
cell_001,291,0.05114,4.91
cell_001,292,0.05151,5.67
cell_001,293,0.0513,5.23
cell_001,294,0.05117,4.97
cell_001,295,0.05199,6.65
cell_001,296,0.05168,6.01
cell_001,297,0.05186,6.38
cell_001,298,0.05124,5.11
cell_001,299,0.05207,6.82
cell_001,300,0.05214,6.95
cell_001,301,0.05184,6.34
cell_001,302,0.05139,5.41
cell_001,303,0.05188,6.41
cell_001,304,0.05217,7.02
cell_001,305,0.05178,6.21
cell_001,306,0.05205,6.76
cell_001,307,0.05185,6.37
cell_001,308,0.0514,5.44
cell_001,309,0.05153,5.71
cell_001,310,0.05148,5.61
cell_001,311,0.05207,6.82
cell_001,312,0.05148,5.59
cell_001,313,0.05188,6.42
cell_001,314,0.052,6.67
cell_001,315,0.0522,7.08
cell_001,316,0.05191,6.49
cell_001,317,0.05154,5.73
cell_001,318,0.05151,5.66
cell_001,319,0.05219,7.06
cell_001,320,0.05194,6.54
cell_001,321,0.0518,6.25
cell_001,322,0.05231,7.31
cell_001,323,0.05217,7.02
cell_001,324,0.05153,5.71
cell_001,325,0.05194,6.54
cell_001,326,0.05157,5.78
cell_001,327,0.05191,6.49
cell_001,328,0.05237,7.42
cell_001,329,0.05233,7.34
cell_001,330,0.05173,6.12
cell_001,331,0.05196,6.58
cell_001,332,0.05207,6.81
cell_001,333,0.05218,7.04
cell_001,334,0.05239,7.47
cell_001,335,0.05198,6.63
cell_001,336,0.05239,7.47
cell_001,337,0.05178,6.22
cell_001,338,0.05248,7.65
cell_001,339,0.05225,7.17
cell_001,340,0.05186,6.39
cell_001,341,0.05227,7.23
cell_001,342,0.05238,7.45
cell_001,343,0.05253,7.76
cell_001,344,0.05191,6.47
cell_001,345,0.05209,6.86
cell_001,346,0.05248,7.65
cell_001,347,0.05252,7.74
cell_001,348,0.05217,7.01
cell_001,349,0.05228,7.24
cell_001,350,0.05238,7.44
cell_001,351,0.05227,7.21
cell_001,352,0.05217,7.02
cell_001,353,0.0518,6.25
cell_001,354,0.05216,6.99
cell_001,355,0.05248,7.65
cell_001,356,0.05187,6.4
cell_001,357,0.05177,6.19
cell_001,358,0.05245,7.58
cell_001,359,0.05255,7.8
cell_001,360,0.052,6.67
cell_001,361,0.05246,7.62
cell_001,362,0.05239,7.47
cell_001,363,0.05227,7.22
cell_001,364,0.05247,7.64
cell_001,365,0.05211,6.89
cell_001,366,0.05282,8.35
cell_001,367,0.05206,6.79
cell_001,368,0.05257,7.84
cell_001,369,0.05222,7.11
cell_001,370,0.05226,7.2
cell_001,371,0.05282,8.35
cell_001,372,0.05264,7.99
cell_001,373,0.05213,6.93
cell_001,374,0.05274,8.19
cell_001,375,0.05281,8.32
cell_001,376,0.05239,7.46
cell_001,377,0.05202,6.7
cell_001,378,0.05236,7.41
cell_001,379,0.05237,7.43
cell_001,380,0.05228,7.24
cell_001,381,0.05286,8.43
cell_001,382,0.05236,7.41
cell_001,383,0.05247,7.64
cell_001,384,0.05242,7.52
cell_001,385,0.05281,8.34
cell_001,386,0.05222,7.12
cell_001,387,0.05266,8.02
cell_001,388,0.05249,7.67
cell_001,389,0.05216,7.0
cell_001,390,0.05217,7.02
cell_001,391,0.05234,7.36
cell_001,392,0.053,8.72
cell_001,393,0.05291,8.53
cell_001,394,0.05279,8.3
cell_001,395,0.05282,8.34
cell_001,396,0.05245,7.59
cell_001,397,0.05255,7.79
cell_001,398,0.05251,7.71
cell_001,399,0.05307,8.87
cell_001,400,0.05229,7.26
cell_001,401,0.05293,8.58
cell_001,402,0.05314,9.01
cell_001,403,0.05301,8.74
cell_001,404,0.05279,8.28
cell_001,405,0.05267,8.04
cell_001,406,0.05285,8.41
cell_001,407,0.0529,8.51
cell_001,408,0.05324,9.21
cell_001,409,0.05323,9.19
cell_001,410,0.05251,7.72
cell_001,411,0.05316,9.05
cell_001,412,0.053,8.73
cell_001,413,0.05285,8.41
cell_001,414,0.05306,8.83
cell_001,415,0.05291,8.53
cell_001,416,0.05278,8.27
cell_001,417,0.05324,9.21
cell_001,418,0.05256,7.81
cell_001,419,0.05274,8.19
cell_001,420,0.05251,7.71
cell_001,421,0.05253,7.75
cell_001,422,0.05255,7.8
cell_001,423,0.05279,8.29
cell_001,424,0.05258,7.86
cell_001,425,0.05293,8.57
cell_001,426,0.0527,8.11
cell_001,427,0.05281,8.32
